ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
145	Recap	1e5	1000	1	0.5	5
146	Recap	1e5	1000	2	0.5	5
147	Recap	1e5	500	1	0.5	5
148	Recap	1e5	500	2	0.5	5
149	Recap	1e5	100	1	0.5	5
150	Recap	1e5	100	2	0.5	5
151	5	1e5	1000	1	0.5	6
152	5	1e5	1000	2	0.5	6
153	5	1e5	500	1	0.5	6
154	5	1e5	500	2	0.5	6
155	5	1e5	100	1	0.5	6
156	5	1e5	100	2	0.5	6
157	10	1e5	1000	1	0.5	6
158	10	1e5	1000	2	0.5	6
159	10	1e5	500	1	0.5	6
160	10	1e5	500	2	0.5	6
161	10	1e5	100	1	0.5	6
162	10	1e5	100	2	0.5	6
163	20	1e5	1000	1	0.5	6
164	20	1e5	1000	2	0.5	6
165	20	1e5	500	1	0.5	6
166	20	1e5	500	2	0.5	6
167	20	1e5	100	1	0.5	6
168	20	1e5	100	2	0.5	6
169	Coal	1e5	1000	1	0.5	6
170	Coal	1e5	1000	2	0.5	6
171	Coal	1e5	500	1	0.5	6
172	Coal	1e5	500	2	0.5	6
173	Coal	1e5	100	1	0.5	6
174	Coal	1e5	100	2	0.5	6
175	Recap	1e5	1000	1	0.5	6
176	Recap	1e5	1000	2	0.5	6
177	Recap	1e5	500	1	0.5	6
178	Recap	1e5	500	2	0.5	6
179	Recap	1e5	100	1	0.5	6
180	Recap	1e5	100	2	0.5	6
181	5	1e5	1000	1	0.5	7
182	5	1e5	1000	2	0.5	7
183	5	1e5	500	1	0.5	7
184	5	1e5	500	2	0.5	7
185	5	1e5	100	1	0.5	7
186	5	1e5	100	2	0.5	7
187	10	1e5	1000	1	0.5	7
188	10	1e5	1000	2	0.5	7
189	10	1e5	500	1	0.5	7
190	10	1e5	500	2	0.5	7
191	10	1e5	100	1	0.5	7
192	10	1e5	100	2	0.5	7
193	20	1e5	1000	1	0.5	7
194	20	1e5	1000	2	0.5	7
195	20	1e5	500	1	0.5	7
196	20	1e5	500	2	0.5	7
197	20	1e5	100	1	0.5	7
198	20	1e5	100	2	0.5	7
199	Coal	1e5	1000	1	0.5	7
200	Coal	1e5	1000	2	0.5	7
201	Coal	1e5	500	1	0.5	7
202	Coal	1e5	500	2	0.5	7
203	Coal	1e5	100	1	0.5	7
204	Coal	1e5	100	2	0.5	7
205	Recap	1e5	1000	1	0.5	7
206	Recap	1e5	1000	2	0.5	7
207	Recap	1e5	500	1	0.5	7
208	Recap	1e5	500	2	0.5	7
209	Recap	1e5	100	1	0.5	7
210	Recap	1e5	100	2	0.5	7
211	5	1e5	1000	1	0.5	8
212	5	1e5	1000	2	0.5	8
213	5	1e5	500	1	0.5	8
214	5	1e5	500	2	0.5	8
215	5	1e5	100	1	0.5	8
216	5	1e5	100	2	0.5	8
