ArrayTaskID	BurnInType	GenomeSize	ScalingFactor	BurnInRep	DomCoeff	SimRep
147	Recap	1e5	5	1	0.0	5
148	Recap	1e5	5	2	0.0	5
149	Recap	1e5	1	1	0.0	5
150	Recap	1e5	1	2	0.0	5
151	5	1e5	10	1	0.0	6
152	5	1e5	10	2	0.0	6
153	5	1e5	5	1	0.0	6
154	5	1e5	5	2	0.0	6
155	5	1e5	1	1	0.0	6
156	5	1e5	1	2	0.0	6
157	10	1e5	10	1	0.0	6
158	10	1e5	10	2	0.0	6
159	10	1e5	5	1	0.0	6
160	10	1e5	5	2	0.0	6
161	10	1e5	1	1	0.0	6
162	10	1e5	1	2	0.0	6
163	20	1e5	10	1	0.0	6
164	20	1e5	10	2	0.0	6
165	20	1e5	5	1	0.0	6
166	20	1e5	5	2	0.0	6
167	20	1e5	1	1	0.0	6
168	20	1e5	1	2	0.0	6
169	Coal	1e5	10	1	0.0	6
170	Coal	1e5	10	2	0.0	6
171	Coal	1e5	5	1	0.0	6
172	Coal	1e5	5	2	0.0	6
173	Coal	1e5	1	1	0.0	6
174	Coal	1e5	1	2	0.0	6
175	Recap	1e5	10	1	0.0	6
176	Recap	1e5	10	2	0.0	6
177	Recap	1e5	5	1	0.0	6
178	Recap	1e5	5	2	0.0	6
179	Recap	1e5	1	1	0.0	6
180	Recap	1e5	1	2	0.0	6
181	5	1e5	10	1	0.0	7
182	5	1e5	10	2	0.0	7
183	5	1e5	5	1	0.0	7
184	5	1e5	5	2	0.0	7
185	5	1e5	1	1	0.0	7
186	5	1e5	1	2	0.0	7
187	10	1e5	10	1	0.0	7
188	10	1e5	10	2	0.0	7
189	10	1e5	5	1	0.0	7
190	10	1e5	5	2	0.0	7
191	10	1e5	1	1	0.0	7
192	10	1e5	1	2	0.0	7
193	20	1e5	10	1	0.0	7
194	20	1e5	10	2	0.0	7
195	20	1e5	5	1	0.0	7
196	20	1e5	5	2	0.0	7
197	20	1e5	1	1	0.0	7
198	20	1e5	1	2	0.0	7
199	Coal	1e5	10	1	0.0	7
200	Coal	1e5	10	2	0.0	7
201	Coal	1e5	5	1	0.0	7
202	Coal	1e5	5	2	0.0	7
203	Coal	1e5	1	1	0.0	7
204	Coal	1e5	1	2	0.0	7
205	Recap	1e5	10	1	0.0	7
206	Recap	1e5	10	2	0.0	7
207	Recap	1e5	5	1	0.0	7
208	Recap	1e5	5	2	0.0	7
209	Recap	1e5	1	1	0.0	7
210	Recap	1e5	1	2	0.0	7
211	5	1e5	10	1	0.0	8
212	5	1e5	10	2	0.0	8
213	5	1e5	5	1	0.0	8
214	5	1e5	5	2	0.0	8
215	5	1e5	1	1	0.0	8
216	5	1e5	1	2	0.0	8
217	10	1e5	10	1	0.0	8
218	10	1e5	10	2	0.0	8
219	10	1e5	5	1	0.0	8
220	10	1e5	5	2	0.0	8
221	10	1e5	1	1	0.0	8
222	10	1e5	1	2	0.0	8
223	20	1e5	10	1	0.0	8
224	20	1e5	10	2	0.0	8
225	20	1e5	5	1	0.0	8
226	20	1e5	5	2	0.0	8
227	20	1e5	1	1	0.0	8
228	20	1e5	1	2	0.0	8
229	Coal	1e5	10	1	0.0	8
230	Coal	1e5	10	2	0.0	8
231	Coal	1e5	5	1	0.0	8
232	Coal	1e5	5	2	0.0	8
233	Coal	1e5	1	1	0.0	8
234	Coal	1e5	1	2	0.0	8
235	Recap	1e5	10	1	0.0	8
236	Recap	1e5	10	2	0.0	8
237	Recap	1e5	5	1	0.0	8
238	Recap	1e5	5	2	0.0	8
239	Recap	1e5	1	1	0.0	8
240	Recap	1e5	1	2	0.0	8
241	5	1e5	10	1	0.0	9
242	5	1e5	10	2	0.0	9
243	5	1e5	5	1	0.0	9
244	5	1e5	5	2	0.0	9
245	5	1e5	1	1	0.0	9
246	5	1e5	1	2	0.0	9
247	10	1e5	10	1	0.0	9
248	10	1e5	10	2	0.0	9
249	10	1e5	5	1	0.0	9
250	10	1e5	5	2	0.0	9
251	10	1e5	1	1	0.0	9
252	10	1e5	1	2	0.0	9
253	20	1e5	10	1	0.0	9
254	20	1e5	10	2	0.0	9
255	20	1e5	5	1	0.0	9
256	20	1e5	5	2	0.0	9
257	20	1e5	1	1	0.0	9
258	20	1e5	1	2	0.0	9
259	Coal	1e5	10	1	0.0	9
260	Coal	1e5	10	2	0.0	9
261	Coal	1e5	5	1	0.0	9
262	Coal	1e5	5	2	0.0	9
263	Coal	1e5	1	1	0.0	9
264	Coal	1e5	1	2	0.0	9
265	Recap	1e5	10	1	0.0	9
266	Recap	1e5	10	2	0.0	9
267	Recap	1e5	5	1	0.0	9
268	Recap	1e5	5	2	0.0	9
269	Recap	1e5	1	1	0.0	9
270	Recap	1e5	1	2	0.0	9
271	5	1e5	10	1	0.0	10
272	5	1e5	10	2	0.0	10
273	5	1e5	5	1	0.0	10
274	5	1e5	5	2	0.0	10
275	5	1e5	1	1	0.0	10
276	5	1e5	1	2	0.0	10
277	10	1e5	10	1	0.0	10
278	10	1e5	10	2	0.0	10
279	10	1e5	5	1	0.0	10
280	10	1e5	5	2	0.0	10
281	10	1e5	1	1	0.0	10
